uid,rms,flatness,centroid,band_energy,peak_freq,ridge_length,grad_t,grad_f,rolloff,bandwidth,zcr,contrast,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,label
match4_0001980789_0001980842,0.09783638268709183,0.0034515776205807924,3351.15063733605,-31.454498291015625,4037.4755859375,10.0,1.7459204196929932,4.974374294281006,4980.450439453125,2140.7785156420878,0.2772216796875,24.427952270104175,0.030587658674238256,-203.0776824951172,57.06703567504883,8.455412864685059,82.77745056152344,-33.29129409790039,1
match4_0001999255_0001999313,0.08837202191352844,0.0041746096685528755,2779.979860181079,-32.612754821777344,4069.775390625,8.0,1.8795667886734009,4.837968349456787,4593.197866586538,2089.285675790553,0.24391526442307693,23.025558924802024,0.017388459377822157,-163.79043579101562,99.50048065185547,-23.79071044921875,58.434608459472656,-28.431825637817383,1
match4_0002036953_0002037011,0.12836821377277374,0.006724658887833357,2391.743160042702,-34.02847671508789,4026.708984375,8.0,1.980982780456543,4.618292808532715,4189.864408052885,2108.687676059397,0.18937800480769232,24.48724999235479,0.000897686505014544,-98.28459167480469,104.908203125,-37.86210632324219,36.09447479248047,-32.010955810546875,1
match4_0002057781_0002057839,0.1321631222963333,0.008990203961730003,2141.3289163247982,-39.25503921508789,3908.2763671875,7.0,1.7883367538452148,4.398685455322266,3991.924579326923,2070.5601447982217,0.13093449519230768,22.27853463231842,0.004653610200088264,-84.36323547363281,106.33989715576172,-35.310325622558594,30.82815170288086,-18.712278366088867,1
match4_0002098648_0002098706,0.09199574589729309,0.007394301239401102,2421.2040580313183,-33.1915168762207,3951.3427734375,11.0,2.0045671463012695,5.0083160400390625,4079.7137920673076,2120.7393592746407,0.23884465144230768,23.07800877102605,0.010319092487753211,-124.20138549804688,114.981201171875,-31.668516159057617,30.987728118896484,-40.82263946533203,1
match4_0002168267_0002168325,0.10589906573295593,0.0026325779035687447,1525.7802171216026,-43.48845291137695,3940.576171875,11.0,1.858222246170044,4.7760233879089355,3069.3096454326924,1570.139626364196,0.08950570913461539,21.93966171010776,-0.009012017829490704,-149.3107147216797,148.90206909179688,-40.87321472167969,21.247535705566406,-33.35527801513672,1
match4_0002179906_0002179964,0.12849317491054535,0.004632301162928343,3506.045512830024,-33.80403137207031,3811.376953125,9.0,1.6800899505615234,4.504988670349121,4850.768103966346,1862.8353789420967,0.29488431490384615,21.100569652609686,-0.00013129256717627548,-190.7294921875,31.8724365234375,-20.389522552490234,80.68498992919922,-18.34123420715332,1
match4_0002195493_0002195551,0.11911235749721527,0.005729914642870426,1994.813188050425,-39.0904655456543,3908.2763671875,11.0,1.7727209329605103,4.39143705368042,3965.422175480769,2022.282577346234,0.11861478365384616,21.838377427813732,-0.023804728603472925,-119.14273071289062,112.76626586914062,-19.39472770690918,31.428348541259766,-22.139387130737305,1
match4_0002249473_0002249531,0.12445206195116043,0.003555433126166463,3597.4826729663246,-28.3847599029541,3962.109375,3.0,1.8048710823059082,4.605198860168457,4545.990459735577,1899.9260952194104,0.2975886418269231,21.6808862290623,-0.04468725211073257,-242.7935333251953,40.58048629760742,4.914438247680664,91.17229461669922,-25.96677017211914,1
match4_0002291072_0002291130,0.1365029513835907,0.002467527985572815,3529.0729070975617,-35.350955963134766,4145.1416015625,9.0,1.9671976566314697,4.656078338623047,6000.3098707932695,2360.584680333681,0.26363431490384615,22.326700592631255,0.030932393884626912,-212.43063354492188,37.083377838134766,23.35550308227539,72.89612579345703,-19.41141700744629,1
match4_0002313647_0002313705,0.11220617592334747,0.0019298867555335164,3597.6795132789525,-33.37628936767578,3714.4775390625,9.0,1.804215669631958,4.837284088134766,4139.344200721154,1655.9341518477447,0.3010066105769231,21.697282393049914,-0.0538176867053925,-268.3805236816406,43.25885772705078,5.094470500946045,89.48231506347656,-29.407752990722656,1
match4_0002361318_0002361376,0.018882235512137413,0.009609759785234928,2739.517624752839,-43.08388137817383,3703.7109375,8.0,1.90103018283844,4.426366329193115,4356.332632211538,2233.122247631099,0.21570763221153846,21.2226416337233,-0.009287106478673266,-323.28387451171875,87.89451599121094,-6.228240013122559,60.42436218261719,-10.11062240600586,0
match4_0002539427_0002539485,0.08756212890148163,0.02209671214222908,2311.5289145726656,-47.07998275756836,3714.4775390625,11.0,1.943353533744812,4.509621620178223,4263.57421875,1986.1100734554589,0.1570763221153846,21.048616590559863,0.010678887572370802,-99.11180877685547,102.38465881347656,-49.265262603759766,14.774087905883789,0.48834070563316345,0
match4_0002553742_0002553800,0.011825750581920147,0.00489360885694623,1672.7510919822223,-36.439117431640625,3725.244140625,9.0,1.738076090812683,4.838693141937256,3656.5035306490386,1990.2356800420896,0.09157151442307693,21.62013929185793,-0.01024638996118085,-360.8717346191406,133.29415893554688,-7.663079261779785,54.12875747680664,3.991497278213501,0
match4_0002585118_0002585176,0.13616034388542175,0.003244412364438176,2264.397733181143,-36.33103942871094,4059.0087890625,10.0,2.0592997074127197,4.827683925628662,4094.621394230769,2227.3877748714435,0.1661658653846154,24.669283731860173,0.008962228328637429,-126.29324340820312,101.35005187988281,-25.657917022705078,38.174678802490234,-15.712869644165039,1
match4_0002650627_0002650685,0.13736660778522491,0.003890768624842167,1963.4468638474248,-42.809329986572266,4026.708984375,8.0,1.989290714263916,4.647245407104492,3841.192157451923,1998.2576414782513,0.11609825721153846,24.358343313444905,0.01428431935376941,-123.98764038085938,116.01596069335938,-29.536808013916016,22.533721923828125,-20.380523681640625,1
match4_0002710296_0002710355,0.08111218363046646,0.004027391783893108,2318.110750010336,-43.89218521118164,3703.7109375,9.0,1.8240127563476562,4.859879970550537,3946.373572716346,2139.2631194921623,0.17067307692307693,23.81892916261361,-0.0122930530408113,-196.32772827148438,92.92138671875,-10.104360580444336,67.47340393066406,-8.239633560180664,1
match4_0002725883_0002725941,0.12616105377674103,0.003379207570105791,1870.38005643731,-41.34864044189453,3919.04296875,10.0,1.845169186592102,4.670393943786621,3705.3673377403848,1896.385525935556,0.14892578125,22.667157686324863,-0.00016651111699214315,-109.93899536132812,130.42453002929688,-33.1322021484375,31.058658599853516,-24.521453857421875,1
